patrol_date,booth_number,machine_name,machine_area,unit_index,in_meter,out_meter,theoretical_stock,prize_restock_count,prize_name,prize_cost,note,r_number,source_row,sheet_name,is_anomaly,anomaly_reason,file_name
2026/5/22,1,BUZZミニ②,,1,17589,375,34,,ボンボンドロップシール,1500,,,5,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,1,BUZZミニ①,,1,21077,513,53,6,サンリオマスコットポーチ,880,,,5,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,1,BUZZ⑤,,1,6974,299,19,0,ゲーム機柄イヤホン,1100,,,11,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,2,BUZZ⑤,,1,7472,179,10,4,デジタルミニカメラ,722,,,12,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,3,BUZZ⑤,,1,8521,218,6,5,ゲームアーク,670,,,13,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,4,BUZZ⑤,,1,7766,228,8,6,たまごっちブロックシール,600,,,14,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,1,BUZZ④,,1,12025,507,17,7,テラスタルフェス,500,,,11,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,2,BUZZ④,,1,7143,442,5,0,キティしっぽ付きポーチ,660,,,12,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,3,BUZZ④,,1,8777,537,35,6,ボンボンドロップシール,300,,,13,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,4,BUZZ④,,1,7856,239,20,0,NICI,682,,,14,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,1,BUZZ③,,1,899,205,4,7,サンリオファン,1100,,,11,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,2,BUZZ③,,1,7157,368,9,10,モンチッチフルーツマスコット,572,,,12,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,3,BUZZ③,,1,8525,434,16,7,たまごっちぷかぷかKH,1300,量増やした　SP3→2,,13,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,4,BUZZ③,,1,7946,498,13,0,サミュエルフェイス,792,20.9.11,,14,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/15,1,BUZZミニ②,,1,17383,374,28,9,ボンボンドロップシール,1500,,,4,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/15,1,BUZZミニ①,,1,20787,504,52,10,サンリオマスコットポーチ,880,実数,,4,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/15,1,BUZZ⑤,,1,6859,298,15,5,ゲーム機柄イヤホン,1100,,,7,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/15,2,BUZZ⑤,,1,7395,175,10,4,デジタルミニカメラ,722,,,8,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/15,3,BUZZ⑤,,1,8335,216,7,3,ゲームアーク,670,,,9,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/15,4,BUZZ⑤,,1,7706,228,11,2,たまごっちブロックシール,600,,,10,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/15,1,BUZZ④,,1,11831,498,20,6,テラスタルフェス,500,,,7,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/15,2,BUZZ④,,1,7042,440,7,0,キティしっぽ付きポーチ,660,,,8,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/15,3,BUZZ④,,1,8725,531,36,8,ボンボンドロップシール,300,,,9,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/15,4,BUZZ④,,1,7759,239,19,3,NICI,682,,,10,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/15,1,BUZZ③,,1,829,204,10,-5,サンリオヘアバンド,792,サンリオファン18.7.9 シリコン3,,7,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/15,2,BUZZ③,,1,7108,366,12,0,モンチッチフルーツマスコット,572,,,8,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/15,3,BUZZ③,,1,8510,432,18,0,たまごっちぷかぷかKH,1300,16.7.8,,9,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/15,4,BUZZ③,,1,7929,498,13,0,サミュエルフェイス,792,,,10,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/8,1,BUZZミニ②,,1,17172,373,27,4,ボンボンドロップシール,1500,,,3,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/8,1,BUZZミニ①,,1,20432,499,68,9,サンリオマスコットポーチ,880,,,3,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/8,1,BUZZ⑤,,1,6721,293,19,1,ゲーム機柄イヤホン,1100,,,3,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/8,2,BUZZ⑤,,1,7255,171,9,5,デジタルミニカメラ,722,,,4,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/8,3,BUZZ⑤,,1,8187,215,2,7,ゲームアーク,670,,,5,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/8,4,BUZZ⑤,,1,7589,228,6,7,たまごっちブロックシール,600,ブライズメーター不良？,,6,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/8,1,BUZZ④,,1,11673,493,18,10,テラスタルフェス,500,,,3,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/8,2,BUZZ④,,1,6995,438,6,3,キティしっぽ付きポーチ,660,,,4,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/8,3,BUZZ④,,1,8598,527,35,8,ボンボンドロップシール,300,,,5,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/8,4,BUZZ④,,1,7602,239,19,3,NICI,682,,,6,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/8,1,BUZZ③,,1,790,204,7,3,サンリオヘアバンド,792,入れ替え,,3,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/8,2,BUZZ③,,1,7056,365,5,10,モンチッチフルーツマスコット,572,,,4,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/8,3,BUZZ③,,1,8466,430,13,7,たまごっちぷかぷかKH,1300,18.7.8,,5,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/8,4,BUZZ③,,1,7821,497,12,2,サミュエルフェイス,792,,,6,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/1,1,BUZZミニ②,,1,16528,369,30,3,ボンボンドロップシール,1500,,,83,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/1,1,BUZZミニ①,,1,19766,486,74,7,サンリオマスコットポーチ,880,,,83,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/1,1,BUZZ⑤,,1,6472,288,19,0,ゲーム機柄イヤホン,1100,,,98,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/1,2,BUZZ⑤,,1,7109,166,12,2,デジタルミニカメラ,722,,,99,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/1,3,BUZZ⑤,,1,7780,205,7,2,ゲームアーク,670,,,100,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/1,4,BUZZ⑤,,1,7374,228,10,5,たまごっちブロックシール,600,,,101,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/1,1,BUZZ④,,1,11332,480,14,17,テラスタルフェス,500,,,98,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/1,2,BUZZ④,,1,6838,434,8,0,キティしっぽ付きポーチ,660,,,99,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/1,3,BUZZ④,,1,8390,508,28,28,ボンボンドロップシール,300,,,100,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/1,1,BUZZ③,,1,701,202,9,0,サンリオヘアバンド,,ノーマルアームに変えた16.8.8,,98,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
